Kinase	Score	Rank	Method	Perc	Qrt	hgnc_symbol	group	KinaseFamily	subfamily
MAPK14	3.263333333333333e-5	53	KEA3	0.84	1	MAPK14	CMGC	MAPK	P38
MAPK15	0.00125	80	KEA3	0.7571428571428571	1	MAPK15	CMGC	MAPK	ERK7
MAPK3	1.5281400000000006e-7	38	KEA3	0.8828571428571429	1	MAPK3	CMGC	MAPK	ERK1
MAPK6	0.5142	237	KEA3	0.26285714285714284	3	MAPK6	CMGC	MAPK	ERK3
MAPK7	0.6666666666667224	252	KEA3	0.18571428571428572	4	MAPK7	CMGC	MAPK	ERK5
MAPK8	3.55666666666683e-4	71	KEA3	0.7828571428571428	1	MAPK8	CMGC	MAPK	JNK
MAPK9	0.136	166	KEA3	0.5	2	MAPK9	CMGC	MAPK	JNK
MAPKAPK2	0.6666666666747667	257	KEA3	0.17142857142857143	4	MAPKAPK2	CAMK	MAPKAPK	MAPKAPK
MAPKAPK3	1	276	KEA3	0	4	MAPKAPK3	CAMK	MAPKAPK	MAPKAPK
MAPKAPK5	0.37066666666666664	191	KEA3	0.4257142857142857	3	MAPKAPK5	CAMK	MAPKAPK	MAPKAPK
MARK2	0.666912	271	KEA3	0.13142857142857142	4	MARK2	CAMK	CAMKL	MARK
MARK3	0.6666692366666667	269	KEA3	0.13714285714285715	4	MARK3	CAMK	CAMKL	MARK
MARK4	1	276	KEA3	0	4	MARK4	CAMK	CAMKL	MARK
MAST1	0.51075	236	KEA3	0.26571428571428574	3	MAST1	AGC	MAST	MAST
MAST2	1	276	KEA3	0	4	MAST2	AGC	MAST	MAST
MATK	9.72e-33	8	KEA3	0.9771428571428571	1	MATK	TK	CSK	NA
MELK	2.89e-5	52	KEA3	0.8428571428571429	1	MELK	CAMK	CAMKL	MELK
MERTK	1	276	KEA3	0	4	MERTK	TK	AXL	NA
MET	0.04700318666666666	115	KEA3	0.6514285714285715	2	MET	TK	MET	NA
MKNK1	0.66781	272	KEA3	0.12857142857142856	4	MKNK1	CAMK	MAPKAPK	MNK
MKNK2	1	276	KEA3	0	4	MKNK2	CAMK	MAPKAPK	MNK
MOK	0.501075	232	KEA3	0.27714285714285714	3	MOK	CMGC	RCK	NA
MOS	1	276	KEA3	0	4	MOS	OTHER	MOS	NA
MST1R	2.65e-23	10	KEA3	0.9714285714285714	1	MST1R	TK	MET	NA
MTOR	0.666666666719	259	KEA3	0.1657142857142857	4	MTOR	ATYPICAL	PIKK	FRAP
MYLK2	0.5000000000000001	204	KEA3	0.35714285714285715	3	MYLK2	CAMK	MLCK	NA
MYO3A	4.51e-8	34	KEA3	0.8942857142857142	1	MYO3A	STE	STE20	NINAC
NEK10	2.17e-4	64	KEA3	0.8057142857142857	1	NEK10	OTHER	NEK	NEK10
NEK11	1	276	KEA3	0	4	NEK11	OTHER	NEK	NEK11
NEK2	0.6666666666666666	244	KEA3	0.20857142857142857	4	NEK2	OTHER	NEK	NEK2
NEK3	0.500000000000665	209	KEA3	0.34285714285714286	3	NEK3	OTHER	NEK	NEK1
NEK4	0.7030000000000001	274	KEA3	0.12285714285714286	4	NEK4	OTHER	NEK	NEK4
NEK6	0.6666666666666666	244	KEA3	0.20857142857142857	4	NEK6	OTHER	NEK	NEK6
NEK8	0.5000072	227	KEA3	0.2914285714285714	3	NEK8	OTHER	NEK	NEK8
NEK9	0.1005	145	KEA3	0.56	2	NEK9	OTHER	NEK	NEK8
NIM1K	4.83e-5	56	KEA3	0.8285714285714286	1	NIM1K	CAMK	CAMKL	NIM1
NLK	0.6666666667396667	260	KEA3	0.16285714285714287	4	NLK	CMGC	MAPK	NMO
NPR2	0.1385	167	KEA3	0.49714285714285716	3	NPR2	RGC	RGC	NA
NRBP2	0.0965	141	KEA3	0.5714285714285714	2	NRBP2	OTHER	NRBP	NA
NTRK1	1.87e-47	2	KEA3	0.9942857142857143	1	NTRK1	TK	TRK	NA
NTRK2	0.0439	113	KEA3	0.6571428571428571	2	NTRK2	TK	TRK	NA
NTRK3	4.76e-13	20	KEA3	0.94	1	NTRK3	TK	TRK	NA
NUAK1	0.6666666666666669	246	KEA3	0.20285714285714285	4	NUAK1	CAMK	CAMKL	NUAK
NUAK2	0.00327	87	KEA3	0.7371428571428571	2	NUAK2	CAMK	CAMKL	NUAK
OXSR1	1	276	KEA3	0	4	OXSR1	STE	STE20	FRAY
PAK1	0.06784666666666667	126	KEA3	0.6171428571428571	2	PAK1	STE	STE20	PAKA
PAK2	0.36866666666666664	190	KEA3	0.42857142857142855	3	PAK2	STE	STE20	PAKA
PAK3	8.59e-11	24	KEA3	0.9285714285714286	1	PAK3	STE	STE20	PAKA
PAK4	0.0012273333333333333	79	KEA3	0.76	1	PAK4	STE	STE20	PAKB
PAK5	0.0299	107	KEA3	0.6771428571428572	2	PAK5	STE	STE20	PAKB
PAK6	0.066	125	KEA3	0.62	2	PAK6	STE	STE20	PAKB
PASK	1.1e-6	43	KEA3	0.8685714285714285	1	PASK	CAMK	CAMKL	PASK
PBK	1	276	KEA3	0	4	PBK	OTHER	TOPK	NA
PDGFRA	3.03e-36	5	KEA3	0.9857142857142858	1	PDGFRA	TK	PDGFR	NA
PDGFRB	0.00262	84	KEA3	0.7457142857142857	2	PDGFRB	TK	PDGFR	NA
PDIK1L	0.0712	128	KEA3	0.6114285714285714	2	PDIK1L	OTHER	NKF4	NA
PDK1	0.00605	91	KEA3	0.7257142857142858	2	PDK1	ATYPICAL	PDHK	PDHK
PDPK1	0.00535	90	KEA3	0.7285714285714285	2	PDPK1	AGC	PDK1	NA
PIK3CA	1.28e-51	1	KEA3	1	1	PIK3CA	NA	NA	NA
PIK3CB	2.32e-4	66	KEA3	0.7971428571428572	1	PIK3CB	NA	NA	NA
PIK3CG	8.78e-6	47	KEA3	0.8571428571428571	1	PIK3CG	NA	NA	NA
PIK3R4	7.19e-16	17	KEA3	0.9485714285714286	1	PIK3R4	OTHER	VPS15	NA
PIM1	0.386	194	KEA3	0.41714285714285715	3	PIM1	CAMK	PIM	NA
PIM2	0.5	203	KEA3	0.3628571428571429	3	PIM2	CAMK	PIM	NA
PINK1	1	276	KEA3	0	4	PINK1	OTHER	NKF2	NA
PKMYT1	1.32e-7	37	KEA3	0.8857142857142857	1	PKMYT1	OTHER	WEE	NA
PKN1	0.09036666666666666	137	KEA3	0.5857142857142857	2	PKN1	AGC	PKN	NA
PLK1	0.383	193	KEA3	0.42	3	PLK1	OTHER	PLK	PLK1
PLK2	1	276	KEA3	0	4	PLK2	OTHER	PLK	PLK2
PLK3	0.6666666666696367	256	KEA3	0.1742857142857143	4	PLK3	OTHER	PLK	PLK2
PLK4	1	276	KEA3	0	4	PLK4	OTHER	PLK	SAK
PNCK	0.132	163	KEA3	0.5085714285714286	2	PNCK	CAMK	CAMK1	NA
PRKAA1	0.33723333333333333	183	KEA3	0.44857142857142857	3	PRKAA1	CAMK	CAMKL	AMPK
PRKAA2	0.66666666666896	255	KEA3	0.17714285714285713	4	PRKAA2	CAMK	CAMKL	AMPK
PRKACA	7.313333333333451e-6	46	KEA3	0.86	1	PRKACA	AGC	PKA	NA
PRKACB	0.5422	239	KEA3	0.2571428571428571	3	PRKACB	AGC	PKA	NA
PRKCA	1.6413333333956669e-9	28	KEA3	0.9171428571428571	1	PRKCA	AGC	PKC	ALPHA
PRKCB	1.53e-4	61	KEA3	0.8142857142857143	1	PRKCB	AGC	PKC	ALPHA
PRKCD	0.008723333333333333	94	KEA3	0.7171428571428572	2	PRKCD	AGC	PKC	DELTA
PRKCE	0.09716666666666667	142	KEA3	0.5685714285714286	2	PRKCE	AGC	PKC	ETA
PRKCG	0.10833333333333334	150	KEA3	0.5457142857142857	2	PRKCG	AGC	PKC	ALPHA
PRKCH	7.866666666666666e-4	76	KEA3	0.7685714285714286	1	PRKCH	AGC	PKC	ETA
PRKCI	0.6666666666666667	245	KEA3	0.2057142857142857	4	PRKCI	AGC	PKC	IOTA
PRKCQ	0.4196666666666667	198	KEA3	0.4057142857142857	3	PRKCQ	AGC	PKC	DELTA
PRKCZ	0.249	180	KEA3	0.45714285714285713	3	PRKCZ	AGC	PKC	IOTA
PRKD1	0.026366666666666667	106	KEA3	0.6828571428571428	2	PRKD1	CAMK	PKD	NA
PRKD2	0.6666677833333333	267	KEA3	0.14285714285714285	4	PRKD2	CAMK	PKD	NA
PRKD3	6.74e-9	32	KEA3	0.9057142857142857	1	PRKD3	CAMK	PKD	NA
PRKDC	0.6666666666666666	244	KEA3	0.20857142857142857	4	PRKDC	ATYPICAL	PIKK	DNAPK
PRKG1	0.6666666683166667	263	KEA3	0.15428571428571428	4	PRKG1	AGC	PKG	NA
PRKG2	0.500635	231	KEA3	0.28	3	PRKG2	AGC	PKG	NA
PRKX	6.88e-4	75	KEA3	0.7714285714285715	1	PRKX	AGC	PKA	NA
PRKY	0.188	175	KEA3	0.4714285714285714	3	PRKY	AGC	PKA	NA
PRPF4B	0.500001125	226	KEA3	0.29428571428571426	3	PRPF4B	CMGC	DYRK	PRP4
PTK2	0.09240333333333334	138	KEA3	0.5828571428571429	2	PTK2	TK	FAK	NA
PTK2B	0.044012100000000005	114	KEA3	0.6542857142857142	2	PTK2B	TK	FAK	NA
PTK6	0.008523333333333332	93	KEA3	0.72	2	PTK6	TK	SRC	SRM
PXK	0.5	203	KEA3	0.3628571428571429	3	PXK	OTHER	SLOB	NA
RAF1	0.35836666666666667	186	KEA3	0.44	3	RAF1	TKL	RAF	RAF
RET	6.035996666666667e-9	31	KEA3	0.9085714285714286	1	RET	TK	RET	NA
RIOK1	0.106	148	KEA3	0.5514285714285714	2	RIOK1	ATYPICAL	RIO	RIO1
RIPK1	0.0146	101	KEA3	0.6971428571428572	2	RIPK1	TKL	RIPK	NA
RIPK2	0.5	203	KEA3	0.3628571428571429	3	RIPK2	TKL	RIPK	NA
RIPK3	0.0815	132	KEA3	0.6	2	RIPK3	TKL	RIPK	NA
ROCK1	0.154	171	KEA3	0.4828571428571429	3	ROCK1	AGC	DMPK	ROCK
ROCK2	0.7416666666666667	275	KEA3	0.12	4	ROCK2	AGC	DMPK	ROCK
RPS6KA1	0.21066666666666667	178	KEA3	0.46285714285714286	3	RPS6KA1	AGC	RSK	RSK
RPS6KA2	0.5	203	KEA3	0.3628571428571429	3	RPS6KA2	AGC	RSK	RSK
RPS6KA3	0.085823333333505	135	KEA3	0.5914285714285714	2	RPS6KA3	AGC	RSK	RSK
RPS6KA4	0.5000000000161	215	KEA3	0.32571428571428573	3	RPS6KA4	AGC	RSK	MSK
RPS6KA5	0.6666666666666666	244	KEA3	0.20857142857142857	4	RPS6KA5	AGC	RSK	MSK
