chip	group	family	subfamily	kinase	uniprot	ensembl	hgnc_symbol	human_mean_final_score	mouse_mean_final_score
stk	CMGC	CK2	0	CK2[alpha]1	P68400	ENSG00000101266	CSNK2A1	1.924580321	1.529414952
stk	CMGC	CDK	CDK10	CDK10	Q15131	ENSG00000185324	CDK10	1.795844415	1.461605223
stk	CMGC	CDK	PFTAIRE	PFTAIRE1	O94921	ENSG00000058091	CDK14	1.475166195	1.374277369
stk	CMGC	CDK	PFTAIRE	PFTAIRE2	Q96Q40	ENSG00000138395	CDK15	1.400992489	1.266735246
stk	CMGC	GSK	0	GSK3[beta]	P49841	ENSG00000082701	GSK3B	1.271886498	1.132417332
stk	CMGC	CDK	PCTAIRE	PCTAIRE2	Q00537	ENSG00000059758	CDK17	1.111259039	1.109578981
stk	CMGC	CDK	CDK9	CDK9	P50750	ENSG00000136807	CDK9	1.083038215	1.004035465
stk	CMGC	MAPK	JNK	JNK2	P45984	ENSG00000050748	MAPK9	1.076453598	1.01762522
stk	CMGC	CDKL	0	CDKL1	Q00532	ENSG00000100490	CDKL1	1.071918993	1.046138668
stk	CMGC	MAPK	p38	p38[beta]	Q15759	ENSG00000185386	MAPK11	1.067834936	1.063985208
stk	CMGC	MAPK	ERK7	ERK7	Q8TD08	ENSG00000181085	MAPK15	1.062983893	1.053547735
stk	CMGC	CDK	CDK2	CDK3	Q00526	ENSG00000250506	CDK3	1.05375631	1.053745272
stk	CMGC	MAPK	p38	p38[delta]	O15264	ENSG00000156711	MAPK13	1.04094648	1.030990083
stk	CMGC	CDK	CDK7	CDK7	P50613	ENSG00000134058	CDK7	1.026361839	1.00524771
stk	CMGC	MAPK	JNK	JNK1	P45983	ENSG00000107643	MAPK8	1.019158888	1.001354825
stk	CMGC	MAPK	JNK	JNK3	P53779	ENSG00000109339	MAPK10	1.017008008	1.001743883
stk	CMGC	MAPK	ERK1	ERK1	P27361	ENSG00000102882	MAPK3	1.005059575	1.002717659
stk	CMGC	MAPK	p38	MAPK14	Q16539	ENSG00000112062	MAPK14	0.976303504	0.973505251
stk	CMGC	CDK	CDC2	CDC2/CDK1	P06493	ENSG00000170312	CDK1	0.894987835	1.001500631
stk	CMGC	CDK	CDK2	CDK2	P24941	ENSG00000123374	CDK2	0.84573746	0.894697773
stk	CMGC	CDKL	0	CDKL5	O76039	ENSG00000008086	CDKL5	0.823126075	0.793734414
stk	CMGC	MAPK	ERK5	ERK5	Q13164	ENSG00000166484	MAPK7	0.747936805	0.572766884
stk	CMGC	MAPK	ERK1	ERK2	P28482	ENSG00000100030	MAPK1	0.743048048	0.906825956
stk	CMGC	CDK	CDK4	CDK4	P11802	ENSG00000135446	CDK4	0.579632791	1.016482004
stk	CMGC	MAPK	p38	p38[gamma]	P53778	ENSG00000188130	MAPK12	0.569044104	0.656111273
stk	CMGC	CDK	CDK5	CDK5	Q00535	ENSG00000164885	CDK5	0.52583387	1.015883176
stk	CMGC	CDK	CDK4	CDK6	Q00534	ENSG00000105810	CDK6	0.473257096	0.981688017
stk	CMGC	CDK	CDK8	CDK11	Q9BWU1	ENSG00000155111	CDK19	0.05109971	0.707850318
stk	CMGC	CDKL	0	CDKL2	Q92772	ENSG00000138769	CDKL2	0.046192002	1.011441043
stk	Other	IKK	0	TBK1	Q9UHD2	ENSG00000183735	TBK1	1.794183423	1.061638743
stk	Other	IKK	0	IKK[epsilon]	Q14164	ENSG00000263528	IKBKE	1.596627572	1.281800443
stk	Other	Aur	0	AurA/Aur2	O14965	ENSG00000087586	AURKA	1.488504711	1.490182529
stk	Other	IKK	0	IKK[alpha]	O15111	ENSG00000213341	CHUK	1.436548977	1.391455838
stk	Other	Aur	0	AurB/Aur1	Q96GD4	ENSG00000178999	AURKB	1.386282745	1.417672642
stk	Other	IKK	0	IKK[beta]	O14920	ENSG00000104365	IKBKB	1.119588412	1.087810724
stk	Other	NKF5	0	SgK307	Q8IWB6	ENSG00000121101	TEX14	1.091703998	1.1283226
stk	RGC	RGC	0	ANP[alpha]	P16066	ENSG00000169418	NPR1	1.068191077	1.093610324
stk	STE	STE20	MSN	HGK/ZC1	O95819	ENSG00000071054	MAP4K4	1.50456372	1.215985573
stk	STE	STE20	MSN	TNIK/ZC2	Q9UKE5	ENSG00000154310	TNIK	1.469840982	1.153845154
stk	STE	STE20	PAKA	PAK1	Q13153	ENSG00000149269	PAK1	1.01959917	1.094514057
ptk	TK	Src	0	Lck	P06239	ENSG00000182866	LCK	3.430662837	3.058534386
ptk	TK	Src	0	Fyn	P06241	ENSG00000010810	FYN	2.796161834	2.054884032
ptk	TK	Src	0	Lyn	P07948	ENSG00000254087	LYN	2.451083534	2.10233971
ptk	TK	Abl	0	Abl	P00519	ENSG00000097007	ABL1	2.337017446	1.79292583
ptk	TK	Src	0	BLK	P51451	ENSG00000136573	BLK	2.26616725	2.793549216
ptk	TK	Src	0	Src	P12931	ENSG00000197122	SRC	2.258066737	2.466434987
ptk	TK	Src	0	Yes	P07947	ENSG00000176105	YES1	2.234699494	2.271515112
ptk	TK	Src	0	HCK	P08631	ENSG00000101336	HCK	2.137837903	3.137573246
ptk	TK	Syk	0	Syk	P43405	ENSG00000165025	SYK	1.972867764	2.645141146
ptk	TK	Csk	0	CTK	P42679	ENSG00000007264	MATK	1.755986196	2.244527408
ptk	TK	Syk	0	ZAP70	P43403	ENSG00000115085	ZAP70	1.705247653	1.631142722
ptk	TK	Met	0	Ron	Q04912	ENSG00000164078	MST1R	1.680527592	1.729413818
ptk	TK	DDR	0	DDR1	Q08345	ENSG00000137332	DDR1	1.560529789	1.387740238
ptk	TK	Src	0	FRK	P42685	ENSG00000111816	FRK	1.521023367	1.930923674
ptk	TK	Eph	0	EphA2	P29317	ENSG00000142627	EPHA2	1.453649116	1.84977807
ptk	TK	Abl	0	Arg	P42684	ENSG00000143322	ABL2	1.451141626	1.751463176
ptk	TK	PDGFR	0	FmS/CSFR	P07333	ENSG00000182578	CSF1R	1.44764994	1.231572997
ptk	TK	ALK	0	LTK	P29376	ENSG00000062524	LTK	1.421730689	1.277807414
ptk	TK	Eph	0	EphA1	P21709	ENSG00000146904	EPHA1	1.40687337	1.342148139
ptk	TK	Tec	0	TEC	P42680	ENSG00000135605	TEC	1.396265737	1.215846355
ptk	TK	Eph	0	EphA5	P54756	ENSG00000145242	EPHA5	1.374825197	1.406707172
ptk	TK	EGFR	0	HER3	P21860	ENSG00000065361	ERBB3	1.372296299	1.088792514
ptk	TK	Src	0	Fgr	P09769	ENSG00000000938	FGR	1.342830976	1.437143418
ptk	TK	InsR	0	InSR	P06213	ENSG00000171105	INSR	1.337918695	1.395343969
ptk	TK	Src	0	Srm	Q9H3Y6	ENSG00000125508	SRMS	1.326188053	1.275175466
ptk	TK	PDGFR	0	PDGFR[beta]	P09619	ENSG00000113721	PDGFRB	1.32176944	1.942858401
ptk	TK	ALK	0	ALK	Q9UM73	ENSG00000171094	ALK	1.313705089	1.05814016
ptk	TK	PDGFR	0	PDGFR[alpha]	P16234	ENSG00000134853	PDGFRA	1.306919152	2.311550511
ptk	TK	Jak	0	JAK2	O60674	ENSG00000096968	JAK2	1.303939913	1.31097966
ptk	TK	Trk	0	TRKB	Q16620	ENSG00000148053	NTRK2	1.295651379	1.221611885
ptk	TK	Trk	0	TRKA	P04629	ENSG00000198400	NTRK1	1.293489274	1.389780668
ptk	TK	Trk	0	TRKC	Q16288	ENSG00000140538	NTRK3	1.227059836	1.351897787
ptk	TK	Eph	0	EphA4	P54764	ENSG00000116106	EPHA4	1.21668785	1.451934861
ptk	TK	InsR	0	IRR	P14616	ENSG00000027644	INSRR	1.203267992	1.542875775
ptk	TK	Eph	0	EphA3	P29320	ENSG00000044524	EPHA3	1.197245663	1.693031544
ptk	TK	Src	0	Brk	Q13882	ENSG00000101213	PTK6	1.189048011	1.213162265
ptk	TK	Tec	0	Etk/BMX	P51813	ENSG00000102010	BMX	1.179459542	1.294697149
ptk	TK	Fer	0	Fes	P07332	ENSG00000182511	FES	1.175681258	1.436343014
ptk	TK	Ret	0	Ret	P07949	ENSG00000165731	RET	1.162365698	1.205833089
ptk	TK	FAK	0	FAK1	Q05397	ENSG00000169398	PTK2	1.157201675	1.232419469
ptk	TK	InsR	0	IGF1R	P08069	ENSG00000140443	IGF1R	1.132216404	1.579794697
ptk	TK	Eph	0	EphA8	P29322	ENSG00000070886	EPHA8	1.127084229	1.044635645
ptk	TK	Axl	0	Axl	P30530	ENSG00000167601	AXL	1.124996288	1.237137186
ptk	TK	Axl	0	Mer	Q12866	ENSG00000153208	MERTK	1.121949062	1.227774916
ptk	TK	Tec	0	BTK	Q06187	ENSG00000010671	BTK	1.109298771	1.031231772
ptk	TK	VEGFR	0	KDR	P35968	ENSG00000128052	KDR	1.109227167	1.095969447
ptk	TK	Axl	0	Tyro3/Sky	Q06418	ENSG00000092445	TYRO3	1.093700298	1.15414896
ptk	TK	Jak	0	JAK1~b	P23458	ENSG00000162434	JAK1	1.09186663	0.536014014
ptk	TK	Eph	0	EphB3	P54753	ENSG00000182580	EPHB3	1.084600165	1.168130226
ptk	TK	Csk	0	CSK	P41240	ENSG00000103653	CSK	1.083282116	1.187047786
ptk	TK	Eph	0	EphB1	P54762	ENSG00000154928	EPHB1	1.079644037	1.17265429
ptk	TK	Tec	0	ITK	Q08881	ENSG00000113263	ITK	1.069840058	1.050544359
ptk	TK	PDGFR	0	Kit	P10721	ENSG00000157404	KIT	1.069454195	1.183274112
ptk	TK	EGFR	0	EGFR	P00533	ENSG00000146648	EGFR	1.067130178	1.011013863
ptk	TK	EGFR	0	HER2	P04626	ENSG00000141736	ERBB2	1.049677596	1.017675926
ptk	TK	VEGFR	0	FLT4	P35916	ENSG00000037280	FLT4	1.049405523	1.075187778
ptk	TK	EGFR	0	HER4	Q15303	ENSG00000178568	ERBB4	1.049153657	1.123356466
ptk	TK	Tec	0	TXK	P42681	ENSG00000074966	TXK	1.045329785	1.023646208
ptk	TK	CCK4	0	CCK4/PTK7	Q13308	ENSG00000112655	PTK7	1.042436682	1.045591972
ptk	TK	Lmr	0	Lmr1	Q6ZMQ8	ENSG00000181409	AATK	1.036537304	1.091888553
ptk	TK	FAK	0	FAK2	Q14289	ENSG00000120899	PTK2B	1.026809461	1.433153467
ptk	TK	Fer	0	Fer	P16591	ENSG00000151422	FER	1.025819984	1.137824569
ptk	TK	FGFR	0	FGFR4	P22455	ENSG00000160867	FGFR4	1.025720907	1.192737396
ptk	TK	Met	0	Met	P08581	ENSG00000105976	MET	1.025575531	1.207131158
ptk	TK	FGFR	0	FGFR1	P11362	ENSG00000077782	FGFR1	1.017943494	1.21575957
ptk	TK	VEGFR	0	FLT1	P17948	ENSG00000102755	FLT1	1.000144837	1.013461831
ptk	TK	FGFR	0	FGFR2	P21802	ENSG00000066468	FGFR2	0.990532036	1.091764837
ptk	TK	PDGFR	0	FLT3	P36888	ENSG00000122025	FLT3	0.965137206	0.96426288
ptk	TK	FGFR	0	FGFR3	P22607	ENSG00000068078	FGFR3	0.948692937	1.078222964
stk	TKL	RAF	0	RAF1	P04049	ENSG00000132155	RAF1	1.259214293	1.080267864
stk	TKL	RAF	0	BRAF	P15056	ENSG00000157764	BRAF	1.177831921	1.093664958
