Kinase	Score	Rank	Method	Perc	Qrt	hgnc_symbol	group	KinaseFamily	subfamily
DDR	2.8387419722066367	2	KRSA	0.9565217391304348	1	DDR2	TK	DDR	NA
SEV	-1.1278700763345526	3	KRSA	0.9130434782608695	1	ROS1	TK	SEV	NA
ACK	-1.0996998586003022	4	KRSA	0.8695652173913043	1	TNK2	TK	ACK	NA
ALK	-1.0418123900011758	5	KRSA	0.8260869565217391	1	ALK	TK	ALK	NA
ALK	-1.0418123900011758	5	KRSA	0.8260869565217391	1	LTK	TK	ALK	NA
FRK	1.0248221026429527	6	KRSA	0.782608695652174	1	FRK	TK	SRC	FRK
CSK	-1.0100328883512295	7	KRSA	0.7391304347826086	2	CSK	TK	CSK	NA
CSK	-1.0100328883512295	7	KRSA	0.7391304347826086	2	MATK	TK	CSK	NA
SYK	0.9637017096374996	8	KRSA	0.6956521739130435	2	SYK	TK	SYK	NA
SYK	0.9637017096374996	8	KRSA	0.6956521739130435	2	ZAP70	TK	SYK	NA
SRC	0.921261837495658	9	KRSA	0.6521739130434783	2	BLK	TK	SRC	SRCB
SRC	0.921261837495658	9	KRSA	0.6521739130434783	2	FGR	TK	SRC	SRCA
SRC	0.921261837495658	9	KRSA	0.6521739130434783	2	FYN	TK	SRC	SRCA
SRC	0.921261837495658	9	KRSA	0.6521739130434783	2	HCK	TK	SRC	SRCB
SRC	0.921261837495658	9	KRSA	0.6521739130434783	2	LCK	TK	SRC	SRCB
SRC	0.921261837495658	9	KRSA	0.6521739130434783	2	LYN	TK	SRC	SRCB
SRC	0.921261837495658	9	KRSA	0.6521739130434783	2	PTK6	TK	SRC	SRM
SRC	0.921261837495658	9	KRSA	0.6521739130434783	2	SRC	TK	SRC	SRCA
SRC	0.921261837495658	9	KRSA	0.6521739130434783	2	SRMS	TK	SRC	SRM
SRC	0.921261837495658	9	KRSA	0.6521739130434783	2	YES1	TK	SRC	SRCA
JAK	-0.8839457309901433	10	KRSA	0.6086956521739131	2	JAK1	TK	JAKA	NA
JAK	-0.8839457309901433	10	KRSA	0.6086956521739131	2	JAK2	TK	JAKA	NA
JAK	-0.8839457309901433	10	KRSA	0.6086956521739131	2	JAK3	TK	JAKA	NA
JAK	-0.8839457309901433	10	KRSA	0.6086956521739131	2	TYK2	TK	JAKA	NA
VEGFR	-0.8283345085046792	11	KRSA	0.5652173913043478	2	FLT1	TK	VEGFR	NA
VEGFR	-0.8283345085046792	11	KRSA	0.5652173913043478	2	FLT4	TK	VEGFR	NA
VEGFR	-0.8283345085046792	11	KRSA	0.5652173913043478	2	KDR	TK	VEGFR	NA
ABL	0.8257234989461276	12	KRSA	0.5217391304347826	2	ABL1	TK	ABL	NA
ABL	0.8257234989461276	12	KRSA	0.5217391304347826	2	ABL2	TK	ABL	NA
FAK	0.8080739060908572	13	KRSA	0.4782608695652174	3	PTK2	TK	FAK	NA
FAK	0.8080739060908572	13	KRSA	0.4782608695652174	3	PTK2B	TK	FAK	NA
AXL	-0.7306670569190006	14	KRSA	0.43478260869565216	3	AXL	TK	AXL	NA
AXL	-0.7306670569190006	14	KRSA	0.43478260869565216	3	MERTK	TK	AXL	NA
AXL	-0.7306670569190006	14	KRSA	0.43478260869565216	3	TYRO3	TK	AXL	NA
EGFR	-0.73061361722025	15	KRSA	0.391304347826087	3	EGFR	TK	EGFR	NA
EGFR	-0.73061361722025	15	KRSA	0.391304347826087	3	ERBB2	TK	EGFR	NA
EGFR	-0.73061361722025	15	KRSA	0.391304347826087	3	ERBB3	TK	EGFR	NA
EGFR	-0.73061361722025	15	KRSA	0.391304347826087	3	ERBB4	TK	EGFR	NA
TEC	0.677159720704146	16	KRSA	0.34782608695652173	3	BMX	TK	TEC	NA
TEC	0.677159720704146	16	KRSA	0.34782608695652173	3	BTK	TK	TEC	NA
TEC	0.677159720704146	16	KRSA	0.34782608695652173	3	ITK	TK	TEC	NA
TEC	0.677159720704146	16	KRSA	0.34782608695652173	3	TEC	TK	TEC	NA
TEC	0.677159720704146	16	KRSA	0.34782608695652173	3	TXK	TK	TEC	NA
PDGFR	0.5685473622645093	17	KRSA	0.30434782608695654	3	CSF1R	TK	PDGFR	NA
PDGFR	0.5685473622645093	17	KRSA	0.30434782608695654	3	FLT3	TK	PDGFR	NA
PDGFR	0.5685473622645093	17	KRSA	0.30434782608695654	3	KIT	TK	PDGFR	NA
PDGFR	0.5685473622645093	17	KRSA	0.30434782608695654	3	PDGFRA	TK	PDGFR	NA
PDGFR	0.5685473622645093	17	KRSA	0.30434782608695654	3	PDGFRB	TK	PDGFR	NA
FGFR	-0.4228628855000018	18	KRSA	0.2608695652173913	3	FGFR1	TK	FGFR	NA
FGFR	-0.4228628855000018	18	KRSA	0.2608695652173913	3	FGFR2	TK	FGFR	NA
FGFR	-0.4228628855000018	18	KRSA	0.2608695652173913	3	FGFR3	TK	FGFR	NA
FGFR	-0.4228628855000018	18	KRSA	0.2608695652173913	3	FGFR4	TK	FGFR	NA
RET	-0.4044344799638954	19	KRSA	0.21739130434782608	4	RET	TK	RET	NA
TRK	0.393980224940359	20	KRSA	0.17391304347826086	4	NTRK1	TK	TRK	NA
TRK	0.393980224940359	20	KRSA	0.17391304347826086	4	NTRK2	TK	TRK	NA
TRK	0.393980224940359	20	KRSA	0.17391304347826086	4	NTRK3	TK	TRK	NA
EPH	0.1879513662533846	21	KRSA	0.13043478260869565	4	EPHA1	TK	EPH	NA
EPH	0.1879513662533846	21	KRSA	0.13043478260869565	4	EPHA2	TK	EPH	NA
EPH	0.1879513662533846	21	KRSA	0.13043478260869565	4	EPHA3	TK	EPH	NA
EPH	0.1879513662533846	21	KRSA	0.13043478260869565	4	EPHA4	TK	EPH	NA
EPH	0.1879513662533846	21	KRSA	0.13043478260869565	4	EPHA5	TK	EPH	NA
EPH	0.1879513662533846	21	KRSA	0.13043478260869565	4	EPHA7	TK	EPH	NA
EPH	0.1879513662533846	21	KRSA	0.13043478260869565	4	EPHA8	TK	EPH	NA
EPH	0.1879513662533846	21	KRSA	0.13043478260869565	4	EPHB1	TK	EPH	NA
EPH	0.1879513662533846	21	KRSA	0.13043478260869565	4	EPHB2	TK	EPH	NA
EPH	0.1879513662533846	21	KRSA	0.13043478260869565	4	EPHB3	TK	EPH	NA
EPH	0.1879513662533846	21	KRSA	0.13043478260869565	4	EPHB4	TK	EPH	NA
RYK	-0.10584739320705856	22	KRSA	0.08695652173913043	4	RYK	TK	RYK	NA
FER	0.04533709759077641	23	KRSA	0.043478260869565216	4	FER	TK	FER	NA
FER	0.04533709759077641	23	KRSA	0.043478260869565216	4	FES	TK	FER	NA
MET	0.02955461438935272	24	KRSA	0	4	MET	TK	MET	NA
MET	0.02955461438935272	24	KRSA	0	4	MST1R	TK	MET	NA
